nome,sobrenome,email,datanascimento,genero,tiposanguineo,endereco,cidade,estado,cep,cpf,frkPlanoSaude
Kai,Souza,KaiCavalcantiSouza@teleworm.us,10/14/2001,M,B+,Servid�o Edmundo Bittencourt 1123,Florian�polis,SC,88048-379,77002286986,345
Renan,Barros,RenanRibeiroBarros@jourrapide.com,8/17/1945,M,A+,Rua Onofrio Freitas 1793,Itagua�,RJ,23820-280,60988891557,112
Clara,Carvalho,ClaraLimaCarvalho@fleckens.hu,10/8/1960,F,A+,Rua Costa Aguiar 1893,Campinas,SP,13010-061,62347121421,231
Enzo,Correia,EnzoSantosCorreia@einrot.com,11/26/1998,M,A+,Caminho do Calemba 61,Rio de Janeiro,RJ,22783-310,68411711609,112
Emilly,Pereira,EmillyOliveiraPereira@cuvox.de,1/4/1977,F,O+,Rua Paulo Firmeza 1996,Fortaleza,CE,60130-421,80548516006,323
Tom�s,Pereira,TomasSousaPereira@armyspy.com,11/1/1939,M,B+,Rua Vit�ria 726,Jo�o Monlevade,MG,35930-270,40610209,323
Melissa,Ferreira,MelissaCorreiaFerreira@fleckens.hu,6/19/1987,F,O+,Rua Augusto Ribas 1775,Ponta Grossa,PR,84010-300,4060896551,45
Lara,Castro,LaraCarvalhoCastro@armyspy.com,10/2/1947,F,B+,Rua Zen�bio Lins 596,Recife,PE,50711-300,65919736640,231
Felipe,Melo,FelipeCostaMelo@einrot.com,1/20/1992,M,AB+,Via 24 949,Formosa,GO,73802-416,55842045362,145
Carlos,Barros,CarlosCunhaBarros@armyspy.com,7/18/1973,M,B+,Rua Am�lia Furlanetto dos Santos 292,Sumar�,SP,13179-231,91320210201,345
Camila,Silva,CamilaCostaSilva@einrot.com,12/25/1950,F,A+,Rua Lago 1875,Olinda,PE,53180-030,17471193182,986
Diogo,Souza,DiogoGomesSouza@rhyta.com,8/19/1951,M,O+,Avenida Padre Salustio Rodrigues Machado 1453,Len��is Paulista,SP,18682-080,61969450843,389
Leonor,Barbosa,LeonorMartinsBarbosa@jourrapide.com,1/2/1949,F,A+,Rua Gard�nia 1951,Americana,SP,13467-194,15292045420,345
�gatha,Araujo,AgathaDiasAraujo@rhyta.com,11/11/1965,F,B+,Rua Natalino Vicente Ferreira 1445,Campo Grande,MS,79070-452,19708379182,956
Bruno,Ribeiro,BrunoCavalcantiRibeiro@einrot.com,9/11/1987,M,A+,Rua Nair Figueiredo Dobes 445,Corumb�,MS,79321-512,35957874639,231
Luis,Rocha,LuisSouzaRocha@jourrapide.com,1/23/1977,M,O+,Rua Santo Estev�o 452,Gravat�,PE,55643-035,11376099586,98
Diego,Pereira,DiegoRodriguesPereira@dayrep.com,10/2/1945,M,O+,Rua Santa Edwirge 1413,Serra,ES,29173-074,38023447580,91
Eduarda,Rodrigues,EduardaSilvaRodrigues@dayrep.com,3/26/1937,F,A+,Rua Interna 18 396,Montes Claros,MG,39403-144,10496509993,986
Bruna,Barbosa,BrunaPintoBarbosa@jourrapide.com,7/27/1988,F,A+,Rua Conde de Leopoldina 1388,Rio de Janeiro,RJ,20930-460,14720978312,231
Breno,Lima,BrenoAlvesLima@cuvox.de,9/7/1986,M,AB+,Quadra SQS 414 Bloco S 1779,Bras�lia,DF,70297-190,36558373998,986
Maria,Ferreira,MariaSouzaFerreira@cuvox.de,12/24/1973,F,B+,Rua Jos� Alves Soares 98,Guarapari,ES,29216-340,96824885835,231
J�lia,Alves,JuliaSilvaAlves@jourrapide.com,6/13/1988,F,A+,Rua Santo Gabriel 1117,Paranagu�,PR,83209-656,90653481667,986
Renan,Cunha,RenanMeloCunha@dayrep.com,6/1/1986,M,O+,Avenida Dom H�lder C�mara 1280,Recife,PE,51220-120,81695524608,323
Joao,Ferreira,JoaoCavalcantiFerreira@teleworm.us,3/4/1969,M,B+,Rua Doutor Moacir Martins 222,Londrina,PR,86040-330,40092294707,895
Lu�s,Rocha,LuisPereiraRocha@gustr.com,6/15/1995,M,B+,Rua Seis 152,V�rzea Grande,MT,78149-298,50714034207,986
Fernanda,Souza,FernandaSantosSouza@superrito.com,9/1/1969,F,O+,Rua Alzira Cez�rio de Oliveira 1940,S�o Jos� do Rio Preto,SP,15047-031,65402883360,112
Mateus,Rodrigues,MateusCostaRodrigues@jourrapide.com,6/28/1958,M,A+,Rua Guilherme 1820,Queimados,RJ,26385-440,4505086178,98
Kauan,Pereira,KauanOliveiraPereira@gustr.com,12/19/1968,M,O-,Estrada do Mandu 5,Salvador,BA,41250-400,89502677560,231
F�bio,Ferreira,FabioAzevedoFerreira@superrito.com,4/30/1939,M,B+,Rua B 36,Rondon�polis,MT,78745-130,94958092153,389
