nome,sobrenome,email,datanascimento,genero,tiposanguineo,endereco,cidade,estado,cep,cpf,frkPlanoSaude
Kai,Souza,KaiCavalcantiSouza@teleworm.us,10/14/2001,M,B+,Servid�o Edmundo Bittencourt 1123,Florian�polis,SC,88048-379,77002286986,345
Renan,Barros,RenanRibeiroBarros@jourrapide.com,8/17/1945,M,A+,Rua Onofrio Freitas 1793,Itagua�,RJ,23820-280,60988891557,112
Clara,Carvalho,ClaraLimaCarvalho@fleckens.hu,10/8/1960,F,A+,Rua Costa Aguiar 1893,Campinas,SP,13010-061,62347121421,231
Enzo,Correia,EnzoSantosCorreia@einrot.com,11/26/1998,M,A+,Caminho do Calemba 61,Rio de Janeiro,RJ,22783-310,68411711609,112
Emilly,Pereira,EmillyOliveiraPereira@cuvox.de,1/4/1977,F,O+,Rua Paulo Firmeza 1996,Fortaleza,CE,60130-421,80548516006,323
Tom�s,Pereira,TomasSousaPereira@armyspy.com,11/1/1939,M,B+,Rua Vit�ria 726,Jo�o Monlevade,MG,35930-270,40610209,323
Melissa,Ferreira,MelissaCorreiaFerreira@fleckens.hu,6/19/1987,F,O+,Rua Augusto Ribas 1775,Ponta Grossa,PR,84010-300,4060896551,45
Lara,Castro,LaraCarvalhoCastro@armyspy.com,10/2/1947,F,B+,Rua Zen�bio Lins 596,Recife,PE,50711-300,65919736640,231
Felipe,Melo,FelipeCostaMelo@einrot.com,1/20/1992,M,AB+,Via 24 949,Formosa,GO,73802-416,55842045362,145
Carlos,Barros,CarlosCunhaBarros@armyspy.com,7/18/1973,M,B+,Rua Am�lia Furlanetto dos Santos 292,Sumar�,SP,13179-231,91320210201,345
