"Matheus", "Barbosa", "MatheusSantosBarbosa@teleworm.us", "1/18/1963", "M", "O+", "Rua Selma Santos 224", "Nova Iguaçu", "RJ", "26043-120","97851191220", "986"
"Thiago", "Cavalcanti", "ThiagoCunhaCavalcanti@rhyta.com", "6/30/2003", "M", "B+", "Beco Ernesto Giacomet 1718", "Caxias do Sul", "RS", "95084-240","65675305025", "91"
"Breno", "Ribeiro", "BrenoPintoRibeiro@gustr.com", "12/29/1933", "M", "B+", "Rua Doutor José Waldemar Barbieri 633", "Araraquara", "SP", "14800-450","98322261128", "956"
"Martim", "Carvalho", "MartimMeloCarvalho@rhyta.com", "9/28/1964", "M", "O+", "Rua São Marcos 1477", "Contagem", "MG", "32371-120","08312986693", "145"
"Evelyn", "Correia", "EvelynAlmeidaCorreia@einrot.com", "3/8/1966", "F", "O+", "Quadra Quadra QR 211 Bloco C 1643", "Santa Maria", "DF", "72511-103","41800876696", "91"
"Kauê", "Dias", "KaueCavalcantiDias@cuvox.de", "11/8/1959", "M", "A+", "Estrada G 1492", "Porto Alegre", "RS", "91240-580","43804288340", "231"
"Arthur", "Almeida", "ArthurBarbosaAlmeida@dayrep.com", "6/27/1994", "M", "A+", "Rua Bangu 643", "Cariacica", "ES", "29142-701","32958149889", "231"
"Nicole", "Azevedo", "NicoleRodriguesAzevedo@dayrep.com", "4/20/1987", "F", "O+", "Passagem São Francisco de Assis 1801", "Belém", "PA", "66087-040","47552651776", "145"
"Rodrigo", "Martins", "RodrigoFerreiraMartins@fleckens.hu", "5/4/1934", "M", "B+", "Rua Setenta e Seis 1849", "São José dos Campos", "SP", "12239-820","70777065169", "145"
"Eduarda", "Castro", "EduardaAraujoCastro@einrot.com", "12/30/1956", "F", "O+", "Avenida Tales Neto 678", "São Luís", "MA", "65057-470","85096452727", "122"
"Luis", "Silva", "LuisSousaSilva@einrot.com", "7/22/1980", "M", "A-", "Rua das Tulipas 751", "Catanduva", "SP", "15804-380","89936696433", "389"
"Kai", "Pereira", "KaiCavalcantiPereira@gustr.com", "9/28/1998", "M", "A+", "Rua Gramado 308", "Cascavel", "PR", "85807-010","12524506800", "895"
"Carlos", "Silva", "CarlosPereiraSilva@armyspy.com", "6/6/1974", "M", "A-", "Quadra QR 104 Conjunto 02 1118", "Samambaia", "DF", "72302-002","73609164611", "323"
"Lavinia", "Goncalves", "LaviniaCunhaGoncalves@einrot.com", "9/27/1946", "F", "O+", "Rua Bartolomeu de Brito 1043", "São Paulo", "SPF", "03953-080","56266128829", "98"
"Gabrielle", "Gomes", "GabrielleBarrosGomes@cuvox.de", "5/15/1980", "F", "B+", "Rua Pedestre E 110", "Sete Lagoas", "MG", "35702-438","35471507878", "91"
"Ana", "Castro", "AnaCorreiaCastro@teleworm.us", "1/17/1982", "F", "B+", "Rua Tuparí 949", "Jacareí", "SP", "12330-190","31736594656", "112"
"Leonardo", "Barbosa", "LeonardoFerreiraBarbosa@dayrep.com", "6/15/1975", "M", "O+", "Rua Codorna 1861", "Campinas", "SP", "13061-380","97373337309", "45"
"Murilo", "Ferreira", "MuriloBarrosFerreira@einrot.com", "12/5/1979", "M", "A+", "Rua Castelo 1929", "Serra", "ES", "29164-030","59610451535", "145"
"Eduarda", "Martins", "EduardaFernandesMartins@jourrapide.com", "5/27/1982", "F", "O+", "Rua Um 1344", "Belo Horizonte", "MG", "31652-190","29334064463", "91"
"Kauê", "Correia", "KaueMartinsCorreia@cuvox.de", "11/23/1992", "M", "A-", "Rua Joalina 961", "Juazeiro", "BA", "48904-480","36860325119", "91"
"Gustavo", "Martins", "GustavoSousaMartins@gustr.com", "11/30/1975", "M", "B+", "Rua Antônio Maximiano Rodrigues 840", "São Paulo", "SP", "03904-000","24085379836", "122"
"Isabella", "Cardoso", "IsabellaSouzaCardoso@cuvox.de", "4/17/1943", "F", "O+", "Rua Sebastião Drumond 317", "Rio de Janeiro", "RJ", "21640-361","35688124873", "389"
"Diogo", "Dias", "DiogoCostaDias@teleworm.us", "1/18/1995", "M", "O+", "Rua Antônio Henrique Alarcon 991", "Bauru", "SP", "17066-650","91360522727", "895"
"Ágatha", "Costa", "AgathaPintoCosta@teleworm.us", "9/19/1950", "F", "A-", "Rua Marcelia 486", "Jandira", "SP", "06630-150","91094722901", "91"
